sep=|
DIPUTACIONES
13/06/2021 09:47 (UTC-5)
ACTAS_ESPERADAS|ACTAS_COMPUTADAS|PORCENTAJE_ACTAS_COMPUTADAS|TOTAL_VOTOS
300|300|100.0000|49,107,009

TIPO_CANDIDATURA|ID_ESTADO|NOMBRE_ESTADO|ID_DISTRITO|NOMBRE_DISTRITO|PAN|PRI|PRD|PVEM|PT|MC|MORENA|PES|RSP|FXM|CANDIDATO/A NO REGISTRADO/A|VOTOS NULOS|TOTAL_VOTOS_CALCULADOS|FECHA_HORA
RP|8|CHIHUAHUA|2|JUAREZ|25359|14908|2496|6835|2791|10691|50054|3166|832|2434|-|-|124016|13/06/2021 08:06:54
RP|8|CHIHUAHUA|3|JUAREZ|18604|7462|778|3134|2846|7624|52928|2776|839|1955|-|-|102600|13/06/2021 08:06:50
RP|8|CHIHUAHUA|4|JUAREZ|58830|13677|1093|3861|2795|10326|57506|3221|1614|2394|-|-|159471|13/06/2021 08:06:43
RP|8|CHIHUAHUA|5|DELICIAS|75512|23146|3965|4686|4410|18891|29285|4214|1002|1260|-|-|171850|13/06/2021 08:06:54
RP|8|CHIHUAHUA|6|CHIHUAHUA|124009|12308|1294|4217|2015|11788|43010|2865|740|1504|-|-|208131|13/06/2021 08:06:37
RP|8|CHIHUAHUA|7|CUAUHTEMOC|51408|29671|2219|3447|2101|11547|32302|2799|1482|1230|-|-|145038|13/06/2021 08:06:26
RP|8|CHIHUAHUA|8|CHIHUAHUA|78315|10829|1694|4815|3043|11025|48885|2974|1126|1611|-|-|168616|13/06/2021 08:06:15
RP|8|CHIHUAHUA|9|HIDALGO DEL PARRAL|35663|44429|1721|3548|2759|23886|25540|5671|1152|1729|-|-|154100|13/06/2021 08:06:57
RP|9|CIUDAD DE MÉXICO|1|GUSTAVO A. MADERO|19390|15148|9308|4558|2927|4193|73175|4085|1778|2911|-|-|143054|13/06/2021 08:06:19
RP|9|CIUDAD DE MÉXICO|2|GUSTAVO A. MADERO|52349|30781|16499|5386|5041|6085|70601|2998|1555|3366|-|-|200108|13/06/2021 08:06:33
